BusinessName,HoldingName
rajbari engineering,
,
rasel store,
,
,
nipa machinery,
,
bismillah pharmacy,
mamun motors,
,
,
,
,
,kamrul amin
,aysha akhter
,nil poddo
,
advance technique,
,
,
,miya manzil
,
bangladesh awami league,
,anowara manjil
lucky automobile,
mayer doa fruit shop,
bir muktijoddha sadek hossain khoka community center,
ideal sweets & bakery,
pohelika,
prince care saloon,
ankon engineering,
genius international school,
mimrat tea and general store,
,mhb monale
,
,avalon chowdhury lounge
,
,
,
,
,anowar manjil
madina electric,
,suborno nir
,
n s telecom,
,abdul khaleq
,
,
b baria hair cutting,
,
,
,
pubali motors,
ab bank atm badda,
shamol hair saloon,
home vista,
mayer duya medicine shop,
,
bata shajadpur,
,
,
bangladesh scouts railway onchol,
nayeem traders,
relax bus stop,
dhaka bedding store,
globe footware gopibagh,
,
shomrat hardware,
,
dhaka power distribution,
,
,
,
boishakhi saloon,
,
,
,twenty point
,
,
,
new bangla motors,
,
,
,
,
,
,
,
sumaiya store,
romoni fashion,
rija,
,
,
,monowara villa
,ismail
punshi hotel and restaurant,
friends eye multimedia,
ali enterprise,
shammi tea,
nanda hotel,
bank alfalah limited mirpur,
,
,baitul ahsan
dipu automobile,
shantibagh government primary school,
,mostofa kamal
,
siam general store,
al madina departmental store,
,
,
mustafa tea store,
,
,kulsum villa
,
,
,saberas dream
,
,
,
,
,
,
,
,
,
shah alam store,
,iftekhar bhaban
,
alfa tusar printing press,
,shopnil
,
,
uttara motors,
ruma tailors and beauty parlour,
ma stationary and telecom plus,
,reliance holdings
,
meena bazar,
,
,
,
,
nipon printers,
,
,munasef ali
,jahan manjil
,
,
,rabeya nir
,
,
fatema tea,
rohan international school,
,jalal uddin
shopno beauty parlour,navy colony
,
,
,
,
,hosna mahal
rokomary traders,
,
omasis printers,
,
,three angels
,ya sin monjil
,sonargaon bhaban
,faruk hosen talukder
,nazmul haque
,faruque
,
,
kuddus tea stall,
,
,haq manjil
,delowar hosen
,
,monsurul haq
al madina jewellers,
,
busmillha auto dry cleaner,
maya refrigeration,
,
,s m ainul bari
,
,
,
,
,
,
akota agency,
,jalil's nakshi
,
,
sader tea stall,
mazar tea,
,mohiuddin
koborsthan,
,mohammad khan
,anicha khatun
,
,
,chowdhury nir
,
,
,gulshan ara
,
shitool furniture,
,
,
,
,
,
,
,yousuf hotel
akhtar furniture,
,panthoneer
,
,abul kalam
,sirajul islam
,
hasan telecom,
,shofiullah
,
,dewan villa
,hazi monjil
jamal store,
,
,
ideal pre-cadet school and college,
,
,
huwaei showroom mugda,
government staff quarter,
,
,
,samania villa
master auto parts,
,
shuvo general store,
bhai bhai pharmacy,
m/s monir and sons,
,
standard tutorial and high school,
,
ideal kinder garten and pre - cadet school,
,
jahangir tea stall,
,
,
,
,
,
cafe rosui khana,
mim general store,
,
al amin general store,
,issak ali villa
,rk house
,
,
,
,sweet home
gulshan laboratory school,
shanjida decorator,bepari bari
,mannan mansion
,jolil house
,
bhai bhai tailors & fabrics,dhali bari
madrasha-e-nuraniya kareniya,dhali bari
noakhali telecom & mobile servicing,
hazi crockeries and door,
babuganj varieties store,
,montajuddin villa
,karabi
,
,alauddin villa
,anan priota
raihan general store,
saimun kinder garten,
,
new hotel jonaki,
,
,raoshon ara
,
modinabagh kinder garten,
,
,
,
,
,
,
,
mughda -modinabagh water pump,uttar mughda
,
,
,
,onnono
,
,
,
,
,nijhum
shena malancha,
islam & brother's,
shimu shaj mahal fashion and tailors,
bashundhara enterprise,
shorolipi biddya niketon,
,priyanka nirjhor
abdul mamar hotel,
,
,captain amir
